# file...... V_Data_transformer.csv
# date...... Fri May 18 11:46:44 2012
# user...... Luca Meschiari
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2009-07-20 00:00:00 PDT,+3525.18,+2397.18,-5.071,-1210.53,-2060.69,-1178,+2078.7
2009-07-20 00:30:00 PDT,+3564.12,+2396.7,-5.93531,-1210.39,-2060.92,-1178.18,+2078.7
2009-07-20 01:00:00 PDT,+2441.04,+2396.45,-6.37959,-1206.07,-2068.29,-1185.63,+2078.66
2009-07-20 01:30:00 PDT,+2284.08,+2396.97,-5.4428,-1205.92,-2068.54,-1186.43,+2078.65
2009-07-20 02:00:00 PDT,+2060.65,+2397.79,-3.96624,-1205.74,-2068.85,-1187.45,+2078.64
2009-07-20 02:30:00 PDT,+1466.65,+2397.77,-4.01407,-1203.78,-2072.15,-1191.83,+2078.59
2009-07-20 03:00:00 PDT,+1606.76,+2397.2,-5.03451,-1203.76,-2072.17,-1191.05,+2078.6
2009-07-20 03:30:00 PDT,+1590.7,+2397.17,-5.08251,-1203.7,-2072.28,-1191.2,+2078.6
2009-07-20 04:00:00 PDT,+1492.75,+2398.11,-3.38991,-1204.07,-2071.65,-1191.34,+2078.6
2009-07-20 04:30:00 PDT,+1634.74,+2397.5,-4.49438,-1204.02,-2071.74,-1190.56,+2078.61
2009-07-20 05:00:00 PDT,+1807.9,+2397.23,-4.97448,-1204.5,-2070.95,-1189.65,+2078.62
2009-07-20 05:30:00 PDT,+1546.65,+2397.65,-4.23009,-1204,-2071.77,-1191.42,+2078.6
2009-07-20 06:00:00 PDT,+1629.79,+2397.79,-3.97826,-1204.31,-2071.27,-1190.58,+2078.61
2009-07-20 06:30:00 PDT,+3036.81,+2390.56,-16.8174,-1206.16,-2068.14,-1189.59,+2078.62
2009-07-20 07:00:00 PDT,+2377.59,+2393.54,-11.5669,-1205.47,-2069.3,-1191.28,+2078.6
