# file...... V_tm_6.csv
# date...... Fri May 18 11:44:36 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 65
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+334,-59.7995,+103.88,-59.914,+103.945,-119.713,+207.825
2009-07-20 00:30:00 PDT,+312,-59.807,+103.882,-59.9139,+103.943,-119.721,+207.826
2009-07-20 01:00:00 PDT,+159,-59.8869,+103.902,-59.9414,+103.933,-119.828,+207.834
2009-07-20 01:30:00 PDT,+108,-59.9055,+103.908,-59.9425,+103.929,-119.848,+207.838
2009-07-20 02:00:00 PDT,+152,-59.8971,+103.903,-59.9492,+103.933,-119.846,+207.836
2009-07-20 02:30:00 PDT,+109,-59.9302,+103.908,-59.9676,+103.93,-119.898,+207.838
2009-07-20 03:00:00 PDT,+116,-59.9246,+103.907,-59.9644,+103.93,-119.889,+207.837
2009-07-20 03:30:00 PDT,+142,-59.9176,+103.904,-59.9663,+103.932,-119.884,+207.836
2009-07-20 04:00:00 PDT,+111,-59.9273,+103.908,-59.9653,+103.93,-119.893,+207.838
2009-07-20 04:30:00 PDT,+238,-59.8862,+103.892,-59.9677,+103.939,-119.854,+207.83
2009-07-20 05:00:00 PDT,+251,-59.8781,+103.89,-59.9641,+103.939,-119.842,+207.829
2009-07-20 05:30:00 PDT,+188,-59.9049,+103.898,-59.9693,+103.935,-119.874,+207.834
2009-07-20 06:00:00 PDT,+159,-59.9097,+103.902,-59.9641,+103.933,-119.874,+207.835
2009-07-20 06:30:00 PDT,+149,-59.9094,+103.901,-59.9605,+103.931,-119.87,+207.832
2009-07-20 07:00:00 PDT,+146,-59.9177,+103.903,-59.9677,+103.931,-119.885,+207.834
2009-07-20 07:30:00 PDT,+147,-59.9114,+103.903,-59.9618,+103.932,-119.873,+207.836
2009-07-20 08:00:00 PDT,+503,-59.7827,+103.858,-59.9551,+103.957,-119.738,+207.814
2009-07-20 08:30:00 PDT,+196,-59.8977,+103.897,-59.9649,+103.936,-119.863,+207.833
2009-07-20 09:00:00 PDT,+178,-59.9015,+103.899,-59.9625,+103.934,-119.864,+207.834
2009-07-20 09:30:00 PDT,+109,-59.9126,+103.907,-59.95,+103.928,-119.863,+207.835
2009-07-20 10:00:00 PDT,+102,-59.9075,+103.909,-59.9424,+103.929,-119.85,+207.839
2009-07-20 10:30:00 PDT,+151,-59.9035,+103.903,-59.9552,+103.932,-119.859,+207.835
2009-07-20 11:00:00 PDT,+104,-59.9069,+103.907,-59.9426,+103.927,-119.85,+207.834
2009-07-20 11:30:00 PDT,+114,-59.9082,+103.905,-59.9473,+103.927,-119.855,+207.831
2009-07-20 12:00:00 PDT,+135,-59.8827,+103.901,-59.9289,+103.928,-119.812,+207.829
2009-07-20 12:30:00 PDT,+106,-59.8985,+103.904,-59.9348,+103.925,-119.833,+207.829
2009-07-20 13:00:00 PDT,+125,-59.8973,+103.904,-59.9401,+103.929,-119.837,+207.833
2009-07-20 13:30:00 PDT,+382,-59.7799,+103.873,-59.9108,+103.948,-119.691,+207.82
2009-07-20 14:00:00 PDT,+233,-59.8512,+103.892,-59.931,+103.937,-119.782,+207.829
2009-07-20 14:30:00 PDT,+426,-59.7038,+103.867,-59.8498,+103.951,-119.554,+207.819
2009-07-20 15:00:00 PDT,+121,-59.8896,+103.907,-59.931,+103.93,-119.821,+207.837
2009-07-20 15:30:00 PDT,+174,-59.874,+103.9,-59.9336,+103.934,-119.808,+207.833
2009-07-20 16:00:00 PDT,+189,-59.8083,+103.898,-59.8731,+103.935,-119.681,+207.833
2009-07-20 16:30:00 PDT,+140,-59.8968,+103.904,-59.9447,+103.932,-119.841,+207.836
2009-07-20 17:00:00 PDT,+110,-59.9048,+103.908,-59.9425,+103.93,-119.847,+207.838
2009-07-20 17:30:00 PDT,+110,-59.9093,+103.908,-59.947,+103.93,-119.856,+207.838
2009-07-20 18:00:00 PDT,+138,-59.8796,+103.904,-59.9268,+103.932,-119.806,+207.836
2009-07-20 18:30:00 PDT,+402,-59.6869,+103.865,-59.8247,+103.944,-119.512,+207.809
2009-07-20 19:00:00 PDT,+994,-59.5285,+103.791,-59.8694,+103.987,-119.398,+207.778
2009-07-20 19:30:00 PDT,+642,-59.6891,+103.84,-59.9092,+103.966,-119.598,+207.806
2009-07-20 20:00:00 PDT,+248,-59.8326,+103.89,-59.9176,+103.938,-119.75,+207.828
2009-07-20 20:30:00 PDT,+243,-59.847,+103.891,-59.9302,+103.939,-119.777,+207.829
2009-07-20 21:00:00 PDT,+238,-59.8235,+103.892,-59.9051,+103.939,-119.729,+207.83
2009-07-20 21:30:00 PDT,+398,-59.7595,+103.871,-59.8959,+103.949,-119.655,+207.821
2009-07-20 22:00:00 PDT,+283,-59.5775,+103.815,-59.6745,+103.871,-119.252,+207.686
2009-07-20 22:30:00 PDT,+288,-59.7738,+103.894,-59.8725,+103.95,-119.646,+207.844
2009-07-20 23:00:00 PDT,+291,-59.7918,+103.885,-59.8915,+103.942,-119.683,+207.827
2009-07-20 23:30:00 PDT,+219,-59.8387,+103.893,-59.9137,+103.936,-119.752,+207.829
2009-07-21 00:00:00 PDT,+193,-59.8723,+103.906,-59.9384,+103.944,-119.811,+207.85
2009-07-21 00:30:00 PDT,+171,-59.877,+103.9,-59.9356,+103.934,-119.813,+207.834
2009-07-21 01:00:00 PDT,+143,-59.8979,+103.904,-59.9469,+103.932,-119.845,+207.836
2009-07-21 01:30:00 PDT,+109,-59.9088,+103.908,-59.9462,+103.93,-119.855,+207.838
2009-07-21 02:00:00 PDT,+145,-59.8965,+103.903,-59.9462,+103.932,-119.843,+207.835
2009-07-21 02:30:00 PDT,+107,-59.9158,+103.909,-59.9525,+103.93,-119.868,+207.838
2009-07-21 03:00:00 PDT,+145,-59.8916,+103.904,-59.9413,+103.932,-119.833,+207.836
2009-07-21 03:30:00 PDT,+109,-59.9094,+103.908,-59.9467,+103.929,-119.856,+207.837
2009-07-21 04:00:00 PDT,+145,-59.8995,+103.903,-59.9492,+103.932,-119.849,+207.835
2009-07-21 04:30:00 PDT,+108,-59.9212,+103.917,-59.9582,+103.938,-119.879,+207.855
2009-07-21 05:00:00 PDT,+103,-59.9308,+103.909,-59.9661,+103.929,-119.897,+207.838
2009-07-21 05:30:00 PDT,+149,-59.9046,+103.903,-59.9556,+103.932,-119.86,+207.835
2009-07-21 06:00:00 PDT,+108,-59.9255,+103.908,-59.9625,+103.929,-119.888,+207.837
2009-07-21 06:30:00 PDT,+105,-59.9239,+103.909,-59.9599,+103.93,-119.884,+207.839
2009-07-21 07:00:00 PDT,+146,-59.9063,+103.904,-59.9563,+103.933,-119.863,+207.837
2009-07-21 07:30:00 PDT,+104,-59.9237,+103.909,-59.9593,+103.929,-119.883,+207.838
2009-07-21 08:00:00 PDT,+468,-59.7924,+103.862,-59.9528,+103.954,-119.745,+207.816
2009-07-21 08:30:00 PDT,+719,-59.696,+103.83,-59.9425,+103.971,-119.639,+207.801
2009-07-21 09:00:00 PDT,+222,-59.8618,+103.893,-59.9379,+103.937,-119.8,+207.831
2009-07-21 09:30:00 PDT,+156,-59.8868,+103.902,-59.9402,+103.933,-119.827,+207.834
2009-07-21 10:00:00 PDT,+148,-59.8895,+103.903,-59.9402,+103.932,-119.83,+207.835
2009-07-21 10:30:00 PDT,+144,-59.906,+103.904,-59.9553,+103.932,-119.861,+207.835
2009-07-21 11:00:00 PDT,+145,-59.872,+103.901,-59.9216,+103.929,-119.794,+207.83
2009-07-21 11:30:00 PDT,+143,-59.7335,+103.893,-59.7825,+103.921,-119.516,+207.815
2009-07-21 12:00:00 PDT,+277,-59.5612,+103.817,-59.6562,+103.872,-119.217,+207.689
2009-07-21 12:30:00 PDT,+132,-59.6075,+103.832,-59.6527,+103.859,-119.26,+207.691
2009-07-21 13:00:00 PDT,+182,-59.7757,+103.893,-59.838,+103.929,-119.614,+207.823
2009-07-21 13:30:00 PDT,+259,-59.8204,+103.887,-59.9092,+103.938,-119.73,+207.825
2009-07-21 14:00:00 PDT,+450,-59.7691,+103.863,-59.9234,+103.951,-119.693,+207.814
2009-07-21 14:30:00 PDT,+194,-59.8718,+103.896,-59.9383,+103.934,-119.81,+207.831
2009-07-21 15:00:00 PDT,+157,-59.8908,+103.901,-59.9446,+103.932,-119.835,+207.834
2009-07-21 15:30:00 PDT,+122,-59.9126,+103.906,-59.9544,+103.93,-119.867,+207.837
2009-07-21 16:00:00 PDT,+164,-59.8941,+103.901,-59.9502,+103.933,-119.844,+207.834
2009-07-21 16:30:00 PDT,+214,-59.8824,+103.895,-59.9557,+103.937,-119.838,+207.832
2009-07-21 17:00:00 PDT,+553,-59.6754,+103.846,-59.8649,+103.955,-119.54,+207.801
2009-07-21 17:30:00 PDT,+832,-59.6007,+103.81,-59.886,+103.974,-119.487,+207.785
