# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-20 00:00:00 PDT,334,-60.0536,-103.732,-60.0532,-103.864,-120.107,-207.596,119.8614312,119.9754864
2009-07-20 00:30:00 PDT,312,-60.0523,-103.741,-60.0519,-103.864,-120.104,-207.604,119.8685689,119.9748357
2009-07-20 01:00:00 PDT,159,-60.0296,-103.825,-60.0294,-103.888,-120.059,-207.712,119.9299108,119.9843548
2009-07-20 01:30:00 PDT,108,-60.027,-103.842,-60.0269,-103.885,-120.054,-207.727,119.943327,119.9805065
2009-07-20 02:00:00 PDT,152,-60.028,-103.829,-60.0278,-103.889,-120.056,-207.718,119.9325728,119.9844202
2009-07-20 02:30:00 PDT,109,-60.019,-103.859,-60.0188,-103.902,-120.038,-207.76,119.9540422,119.9911745
2009-07-20 03:00:00 PDT,116,-60.0191,-103.857,-60.019,-103.903,-120.038,-207.759,119.9523606,119.9921405
2009-07-20 03:30:00 PDT,142,-60.0199,-103.849,-60.0197,-103.905,-120.04,-207.754,119.9458344,119.9942224
2009-07-20 04:00:00 PDT,111,-60.0201,-103.856,-60.02,-103.899,-120.04,-207.755,119.9519951,119.989177
2009-07-20 04:30:00 PDT,238,-60.0248,-103.815,-60.0244,-103.909,-120.049,-207.724,119.9188511,120.000037
2009-07-20 05:00:00 PDT,251,-60.0271,-103.807,-60.0268,-103.906,-120.054,-207.713,119.9130768,119.9986398
2009-07-20 05:30:00 PDT,188,-60.0229,-103.831,-60.0226,-103.905,-120.046,-207.737,119.9317518,119.995673
2009-07-20 06:00:00 PDT,159,-60.0229,-103.838,-60.0227,-103.901,-120.046,-207.739,119.9378121,119.9922594
2009-07-20 06:30:00 PDT,149,-60.0316,-103.83,-60.0314,-103.888,-120.063,-207.718,119.9352404,119.9853555
2009-07-20 07:00:00 PDT,146,-60.0284,-103.835,-60.0282,-103.892,-120.057,-207.727,119.9379674,119.9872179
2009-07-20 07:30:00 PDT,147,-60.0221,-103.843,-60.0219,-103.901,-120.044,-207.744,119.9417406,119.9918592
2009-07-20 08:00:00 PDT,503,-60.043,-103.711,-60.0424,-103.91,-120.085,-207.622,119.8379463,120.0099075
2009-07-20 08:30:00 PDT,196,-60.023,-103.828,-60.0227,-103.906,-120.046,-207.734,119.9292046,119.9965889
2009-07-20 09:00:00 PDT,178,-60.0227,-103.834,-60.0224,-103.904,-120.045,-207.738,119.934249,119.994707
2009-07-20 09:30:00 PDT,109,-60.0156,-103.866,-60.0154,-103.909,-120.031,-207.774,119.958402,119.9955354
2009-07-20 10:00:00 PDT,102,-60.0285,-103.84,-60.0284,-103.881,-120.057,-207.721,119.9423462,119.9777936
2009-07-20 10:30:00 PDT,151,-60.0246,-103.837,-60.0244,-103.896,-120.049,-207.733,119.9377971,119.9887804
2009-07-20 11:00:00 PDT,104,-60.0282,-103.845,-60.0281,-103.886,-120.056,-207.731,119.9465248,119.9819728
2009-07-20 11:30:00 PDT,114,-60.0294,-103.843,-60.0292,-103.888,-120.059,-207.731,119.9453939,119.9842548
2009-07-20 12:00:00 PDT,135,-60.0366,-103.824,-60.0364,-103.877,-120.073,-207.701,119.932549,119.9783333
2009-07-20 12:30:00 PDT,106,-60.0322,-103.842,-60.032,-103.884,-120.064,-207.725,119.9459295,119.9821923
2009-07-20 13:00:00 PDT,125,-60.0309,-103.835,-60.0308,-103.884,-120.062,-207.719,119.9392187,119.9815919
2009-07-20 13:30:00 PDT,382,-60.0515,-103.724,-60.051,-103.875,-120.102,-207.599,119.8534556,119.9839082
2009-07-20 14:00:00 PDT,233,-60.035,-103.795,-60.0347,-103.887,-120.07,-207.682,119.9066439,119.9861408
2009-07-20 14:30:00 PDT,426,-60.0848,-103.644,-60.0844,-103.812,-120.169,-207.455,119.8009262,119.9460982
